case_id,member_id,split,ood_tag,topology_type,hazard_type,load_scale,residual_norm,drift_ratio_pct,base_shear_kN,mode_shape_mac,buckling_factor,equilibrium_residual,top_displacement_m,axial_force_kN,shear_force_y_kN,shear_force_z_kN,bending_moment_y_kNm,bending_moment_z_kNm,axial_force_kN_station_0.0,axial_force_kN_station_0.125,axial_force_kN_station_0.25,axial_force_kN_station_0.375,axial_force_kN_station_0.5,axial_force_kN_station_0.625,axial_force_kN_station_0.75,axial_force_kN_station_0.875,axial_force_kN_station_1.0,shear_force_y_kN_station_0.0,shear_force_y_kN_station_0.125,shear_force_y_kN_station_0.25,shear_force_y_kN_station_0.375,shear_force_y_kN_station_0.5,shear_force_y_kN_station_0.625,shear_force_y_kN_station_0.75,shear_force_y_kN_station_0.875,shear_force_y_kN_station_1.0,shear_force_z_kN_station_0.0,shear_force_z_kN_station_0.125,shear_force_z_kN_station_0.25,shear_force_z_kN_station_0.375,shear_force_z_kN_station_0.5,shear_force_z_kN_station_0.625,shear_force_z_kN_station_0.75,shear_force_z_kN_station_0.875,shear_force_z_kN_station_1.0,bending_moment_y_kNm_station_0.0,bending_moment_y_kNm_station_0.125,bending_moment_y_kNm_station_0.25,bending_moment_y_kNm_station_0.375,bending_moment_y_kNm_station_0.5,bending_moment_y_kNm_station_0.625,bending_moment_y_kNm_station_0.75,bending_moment_y_kNm_station_0.875,bending_moment_y_kNm_station_1.0,bending_moment_z_kNm_station_0.0,bending_moment_z_kNm_station_0.125,bending_moment_z_kNm_station_0.25,bending_moment_z_kNm_station_0.375,bending_moment_z_kNm_station_0.5,bending_moment_z_kNm_station_0.625,bending_moment_z_kNm_station_0.75,bending_moment_z_kNm_station_0.875,bending_moment_z_kNm_station_1.0,axial_force_kN_station_0.0,axial_force_kN_station_0.125,axial_force_kN_station_0.25,axial_force_kN_station_0.375,axial_force_kN_station_0.5,axial_force_kN_station_0.625,axial_force_kN_station_0.75,axial_force_kN_station_0.875,axial_force_kN_station_1.0,shear_force_y_kN_station_0.0,shear_force_y_kN_station_0.125,shear_force_y_kN_station_0.25,shear_force_y_kN_station_0.375,shear_force_y_kN_station_0.5,shear_force_y_kN_station_0.625,shear_force_y_kN_station_0.75,shear_force_y_kN_station_0.875,shear_force_y_kN_station_1.0,shear_force_z_kN_station_0.0,shear_force_z_kN_station_0.125,shear_force_z_kN_station_0.25,shear_force_z_kN_station_0.375,shear_force_z_kN_station_0.5,shear_force_z_kN_station_0.625,shear_force_z_kN_station_0.75,shear_force_z_kN_station_0.875,shear_force_z_kN_station_1.0,bending_moment_y_kNm_station_0.0,bending_moment_y_kNm_station_0.125,bending_moment_y_kNm_station_0.25,bending_moment_y_kNm_station_0.375,bending_moment_y_kNm_station_0.5,bending_moment_y_kNm_station_0.625,bending_moment_y_kNm_station_0.75,bending_moment_y_kNm_station_0.875,bending_moment_y_kNm_station_1.0,bending_moment_z_kNm_station_0.0,bending_moment_z_kNm_station_0.125,bending_moment_z_kNm_station_0.25,bending_moment_z_kNm_station_0.375,bending_moment_z_kNm_station_0.5,bending_moment_z_kNm_station_0.625,bending_moment_z_kNm_station_0.75,bending_moment_z_kNm_station_0.875,bending_moment_z_kNm_station_1.0
C-TRN-001,MF-001,train,in_distribution,rahmen,wind,1.0,0.02,1.67,1195.0,0.948,2.62,0.021,0.408275,958.0,168.608,130.288,1274.140,1034.640,900.520,924.470,943.630,958.000,972.370,981.950,972.370,948.420,919.680,168.608,156.805,141.631,121.398,97.793,74.188,50.582,26.977,3.372,3.909,20.846,40.389,61.235,82.081,101.625,117.259,126.379,130.288,0.000,484.173,866.415,1146.726,1274.140,1146.726,866.415,484.173,0.000,124.157,434.549,724.248,931.176,1034.640,848.405,600.091,289.699,62.078,900.520,924.470,943.630,958.000,972.370,981.950,972.370,948.420,919.680,168.608,156.805,141.631,121.398,97.793,74.188,50.582,26.977,3.372,3.909,20.846,40.389,61.235,82.081,101.625,117.259,126.379,130.288,0.000,484.173,866.415,1146.726,1274.140,1146.726,866.415,484.173,0.000,124.157,434.549,724.248,931.176,1034.640,848.405,600.091,289.699,62.078
C-TRN-002,MF-002,train,in_distribution,truss,wind,0.92,0.017,1.2,868.0,0.96,3.0,0.017,0.387272,760.0,133.760,103.360,1010.800,820.800,714.400,733.400,748.600,760.000,771.400,779.000,771.400,752.400,729.600,133.760,124.397,112.358,96.307,77.581,58.854,40.128,21.402,2.675,3.101,16.538,32.042,48.579,65.117,80.621,93.024,100.259,103.360,0.000,384.104,687.344,909.720,1010.800,909.720,687.344,384.104,0.000,98.496,344.736,574.560,738.720,820.800,673.056,476.064,229.824,49.248,714.400,733.400,748.600,760.000,771.400,779.000,771.400,752.400,729.600,133.760,124.397,112.358,96.307,77.581,58.854,40.128,21.402,2.675,3.101,16.538,32.042,48.579,65.117,80.621,93.024,100.259,103.360,0.000,384.104,687.344,909.720,1010.800,909.720,687.344,384.104,0.000,98.496,344.736,574.560,738.720,820.800,673.056,476.064,229.824,49.248
C-TRN-003,MF-003,train,in_distribution,rahmen,seismic,1.2,0.027,2.31,1614.0,0.938,2.24,0.03,0.564739,1217.0,214.192,165.512,1618.610,1314.360,1143.980,1174.405,1198.745,1217.000,1235.255,1247.425,1235.255,1204.830,1168.320,214.192,199.199,179.921,154.218,124.231,94.244,64.258,34.271,4.284,4.965,26.482,51.309,77.791,104.273,129.099,148.961,160.547,165.512,0.000,615.072,1100.655,1456.749,1618.610,1456.749,1100.655,615.072,0.000,157.723,552.031,920.052,1182.924,1314.360,1077.775,762.329,368.021,78.862,1143.980,1174.405,1198.745,1217.000,1235.255,1247.425,1235.255,1204.830,1168.320,214.192,199.199,179.921,154.218,124.231,94.244,64.258,34.271,4.284,4.965,26.482,51.309,77.791,104.273,129.099,148.961,160.547,165.512,0.000,615.072,1100.655,1456.749,1618.610,1456.749,1100.655,615.072,0.000,157.723,552.031,920.052,1182.924,1314.360,1077.775,762.329,368.021,78.862
C-TRN-004,MF-004,train,in_distribution,wall-frame,wind,1.08,0.021,1.55,1248.0,0.951,2.72,0.022,0.621521,1036.0,182.336,140.896,1377.880,1118.880,973.840,999.740,1020.460,1036.000,1051.540,1061.900,1051.540,1025.640,994.560,182.336,169.572,153.162,131.282,105.755,80.228,54.701,29.174,3.647,4.227,22.543,43.678,66.221,88.764,109.899,126.806,136.669,140.896,0.000,523.594,936.958,1240.092,1377.880,1240.092,936.958,523.594,0.000,134.266,469.930,783.216,1006.992,1118.880,917.482,648.950,313.286,67.133,973.840,999.740,1020.460,1036.000,1051.540,1061.900,1051.540,1025.640,994.560,182.336,169.572,153.162,131.282,105.755,80.228,54.701,29.174,3.647,4.227,22.543,43.678,66.221,88.764,109.899,126.806,136.669,140.896,0.000,523.594,936.958,1240.092,1377.880,1240.092,936.958,523.594,0.000,134.266,469.930,783.216,1006.992,1118.880,917.482,648.950,313.286,67.133
C-TRN-005,MF-005,train,in_distribution,outrigger,combined,1.28,0.033,2.75,1978.0,0.928,1.94,0.035,1.317898,1612.0,283.712,219.232,2143.960,1740.960,1515.280,1555.580,1587.820,1612.000,1636.180,1652.300,1636.180,1595.880,1547.520,283.712,263.852,238.318,204.273,164.553,124.833,85.114,45.394,5.674,6.577,35.077,67.962,103.039,138.116,171.001,197.309,212.655,219.232,0.000,814.705,1457.893,1929.564,2143.960,1929.564,1457.893,814.705,0.000,208.915,731.203,1218.672,1566.864,1740.960,1427.587,1009.757,487.469,104.458,1515.280,1555.580,1587.820,1612.000,1636.180,1652.300,1636.180,1595.880,1547.520,283.712,263.852,238.318,204.273,164.553,124.833,85.114,45.394,5.674,6.577,35.077,67.962,103.039,138.116,171.001,197.309,212.655,219.232,0.000,814.705,1457.893,1929.564,2143.960,1929.564,1457.893,814.705,0.000,208.915,731.203,1218.672,1566.864,1740.960,1427.587,1009.757,487.469,104.458
C-TRN-006,MF-006,train,in_distribution,truss,seismic,1.14,0.024,1.9,1352.0,0.943,2.49,0.027,0.613181,1128.0,198.528,153.408,1500.240,1218.240,1060.320,1088.520,1111.080,1128.000,1144.920,1156.200,1144.920,1116.720,1082.880,198.528,184.631,166.764,142.940,115.146,87.352,59.558,31.764,3.971,4.602,24.545,47.556,72.102,96.647,119.658,138.067,148.806,153.408,0.000,570.091,1020.163,1350.216,1500.240,1350.216,1020.163,570.091,0.000,146.189,511.661,852.768,1096.416,1218.240,998.957,706.579,341.107,73.094,1060.320,1088.520,1111.080,1128.000,1144.920,1156.200,1144.920,1116.720,1082.880,198.528,184.631,166.764,142.940,115.146,87.352,59.558,31.764,3.971,4.602,24.545,47.556,72.102,96.647,119.658,138.067,148.806,153.408,0.000,570.091,1020.163,1350.216,1500.240,1350.216,1020.163,570.091,0.000,146.189,511.661,852.768,1096.416,1218.240,998.957,706.579,341.107,73.094
C-TRN-007,MF-007,train,in_distribution,wall-frame,combined,1.25,0.03,2.41,1766.0,0.933,2.1,0.032,0.966363,1374.0,241.824,186.864,1827.420,1483.920,1291.560,1325.910,1353.390,1374.000,1394.610,1408.350,1394.610,1360.260,1319.040,241.824,224.896,203.132,174.113,140.258,106.403,72.547,38.692,4.836,5.606,29.898,57.928,87.826,117.724,145.754,168.178,181.258,186.864,0.000,694.420,1242.646,1644.678,1827.420,1644.678,1242.646,694.420,0.000,178.070,623.246,1038.744,1335.528,1483.920,1216.814,860.674,415.498,89.035,1291.560,1325.910,1353.390,1374.000,1394.610,1408.350,1394.610,1360.260,1319.040,241.824,224.896,203.132,174.113,140.258,106.403,72.547,38.692,4.836,5.606,29.898,57.928,87.826,117.724,145.754,168.178,181.258,186.864,0.000,694.420,1242.646,1644.678,1827.420,1644.678,1242.646,694.420,0.000,178.070,623.246,1038.744,1335.528,1483.920,1216.814,860.674,415.498,89.035
C-VAL-001,MF-008,val,in_distribution,rahmen,combined,1.18,0.028,2.25,1593.0,0.937,2.21,0.029,0.550070,1291.0,227.216,175.576,1717.030,1394.280,1213.540,1245.815,1271.635,1291.000,1310.365,1323.275,1310.365,1278.090,1239.360,227.216,211.311,190.861,163.596,131.785,99.975,68.165,36.355,4.544,5.267,28.092,54.429,82.521,110.613,136.949,158.018,170.309,175.576,0.000,652.471,1167.580,1545.327,1717.030,1545.327,1167.580,652.471,0.000,167.314,585.598,975.996,1254.852,1394.280,1143.310,808.682,390.398,83.657,1213.540,1245.815,1271.635,1291.000,1310.365,1323.275,1310.365,1278.090,1239.360,227.216,211.311,190.861,163.596,131.785,99.975,68.165,36.355,4.544,5.267,28.092,54.429,82.521,110.613,136.949,158.018,170.309,175.576,0.000,652.471,1167.580,1545.327,1717.030,1545.327,1167.580,652.471,0.000,167.314,585.598,975.996,1254.852,1394.280,1143.310,808.682,390.398,83.657
C-VAL-002,MF-009,val,in_distribution,truss,wind,0.95,0.018,1.27,939.0,0.958,2.92,0.018,0.409863,818.0,143.968,111.248,1087.940,883.440,768.920,789.370,805.730,818.000,830.270,838.450,830.270,809.820,785.280,143.968,133.890,120.933,103.657,83.501,63.346,43.190,23.035,2.879,3.337,17.800,34.487,52.287,70.086,86.773,100.123,107.911,111.248,0.000,413.417,739.799,979.146,1087.940,979.146,739.799,413.417,0.000,106.013,371.045,618.408,795.096,883.440,724.421,512.395,247.363,53.006,768.920,789.370,805.730,818.000,830.270,838.450,830.270,809.820,785.280,143.968,133.890,120.933,103.657,83.501,63.346,43.190,23.035,2.879,3.337,17.800,34.487,52.287,70.086,86.773,100.123,107.911,111.248,0.000,413.417,739.799,979.146,1087.940,979.146,739.799,413.417,0.000,106.013,371.045,618.408,795.096,883.440,724.421,512.395,247.363,53.006
C-TST-001,MF-010,test,ood_topology,outrigger,seismic,1.22,0.031,2.6,1878.0,0.93,1.99,0.033,1.246013,1548.0,272.448,210.528,2058.840,1671.840,1455.120,1493.820,1524.780,1548.000,1571.220,1586.700,1571.220,1532.520,1486.080,272.448,253.377,228.856,196.163,158.020,119.877,81.734,43.592,5.449,6.316,33.684,65.264,98.948,132.633,164.212,189.475,204.212,210.528,0.000,782.359,1400.011,1852.956,2058.840,1852.956,1400.011,782.359,0.000,200.621,702.173,1170.288,1504.656,1671.840,1370.909,969.667,468.115,100.310,1455.120,1493.820,1524.780,1548.000,1571.220,1586.700,1571.220,1532.520,1486.080,272.448,253.377,228.856,196.163,158.020,119.877,81.734,43.592,5.449,6.316,33.684,65.264,98.948,132.633,164.212,189.475,204.212,210.528,0.000,782.359,1400.011,1852.956,2058.840,1852.956,1400.011,782.359,0.000,200.621,702.173,1170.288,1504.656,1671.840,1370.909,969.667,468.115,100.310
