time_s,acc_x_g,disp_top_mm,disp_mid_mm
0.00,0.000000,0.000000,0.000000
0.01,0.010519,0.004734,0.003471
0.02,0.020818,0.014102,0.010341
0.03,0.030685,0.027910,0.020468
0.04,0.039919,0.045874,0.033641
0.05,0.048337,0.067626,0.049592
0.06,0.055781,0.092727,0.068000
0.07,0.062119,0.120681,0.088499
0.08,0.067251,0.150944,0.110692
0.09,0.071109,0.182943,0.134158
0.10,0.073661,0.216090,0.158466
0.11,0.074909,0.249799,0.183186
0.12,0.074888,0.283498,0.207899
0.13,0.073665,0.316648,0.232208
0.14,0.071334,0.348748,0.255748
0.15,0.068015,0.379354,0.278193
0.16,0.063844,0.408084,0.299262
0.17,0.058975,0.434623,0.318723
0.18,0.053567,0.458728,0.336401
0.19,0.047784,0.480231,0.352169
0.20,0.041786,0.499035,0.365959
0.21,0.035726,0.515111,0.377748
0.22,0.029742,0.528495,0.387563
0.23,0.023956,0.539275,0.395469
0.24,0.018471,0.547587,0.401564
0.25,0.013364,0.553601,0.405974
0.26,0.008689,0.557511,0.408841
0.27,0.004478,0.559526,0.410319
0.28,0.000734,0.559856,0.410561
0.29,-0.002559,0.558704,0.409717
0.30,-0.005438,0.556258,0.407922
0.31,-0.007955,0.552678,0.405297
0.32,-0.010179,0.548097,0.401938
0.33,-0.012182,0.542615,0.397918
0.34,-0.014043,0.536296,0.393283
0.35,-0.015839,0.529168,0.388057
0.36,-0.017640,0.521230,0.382235
0.37,-0.019508,0.512451,0.375798
0.38,-0.021488,0.502782,0.368707
0.39,-0.023611,0.492157,0.360915
0.40,-0.025886,0.480509,0.352373
0.41,-0.028302,0.467772,0.343033
0.42,-0.030828,0.453900,0.332860
0.43,-0.033409,0.438866,0.321835
0.44,-0.035972,0.422679,0.309964
0.45,-0.038427,0.405386,0.297283
0.46,-0.040671,0.387084,0.283862
0.47,-0.042590,0.367919,0.269807
0.48,-0.044065,0.348090,0.255266
0.49,-0.044976,0.327851,0.240424
0.50,-0.045211,0.307506,0.225504
0.51,-0.044664,0.287407,0.210765
0.52,-0.043248,0.267945,0.196493
0.53,-0.040893,0.249543,0.182998
0.54,-0.037554,0.232644,0.170606
0.55,-0.033212,0.217699,0.159646
0.56,-0.027878,0.205154,0.150446
0.57,-0.021594,0.195436,0.143320
0.58,-0.014432,0.188942,0.138557
0.59,-0.006494,0.186019,0.136414
0.60,0.002090,0.186960,0.137104
0.61,0.011165,0.191984,0.140788
0.62,0.020554,0.201233,0.147571
0.63,0.030066,0.214763,0.157493
0.64,0.039496,0.232536,0.170527
0.65,0.048637,0.254423,0.186577
0.66,0.057281,0.280199,0.205479
0.67,0.065229,0.309552,0.227005
0.68,0.072294,0.342085,0.250862
0.69,0.078311,0.377324,0.276705
0.70,0.083136,0.414735,0.304139
0.71,0.086656,0.453730,0.332736
0.72,0.088790,0.493686,0.362036
0.73,0.089491,0.533957,0.391568
0.74,0.088750,0.573894,0.420856
0.75,0.086592,0.612861,0.449431
0.76,0.083079,0.650246,0.476847
0.77,0.078304,0.685483,0.502688
0.78,0.072394,0.718060,0.526577
0.79,0.065497,0.747534,0.548191
0.80,0.057786,0.773537,0.567261
0.81,0.049447,0.795788,0.583578
0.82,0.040678,0.814093,0.597002
0.83,0.031677,0.828348,0.607455
0.84,0.022644,0.838538,0.614928
0.85,0.013765,0.844732,0.619470
0.86,0.005217,0.847080,0.621192
0.87,-0.002844,0.845800,0.620254
0.88,-0.010286,0.841172,0.616859
0.89,-0.017001,0.833521,0.611249
0.90,-0.022909,0.823212,0.603689
0.91,-0.027962,0.810629,0.594461
0.92,-0.032139,0.796167,0.583856
0.93,-0.035446,0.780216,0.572159
0.94,-0.037917,0.763154,0.559646
0.95,-0.039608,0.745330,0.546575
0.96,-0.040595,0.727062,0.533179
0.97,-0.040969,0.708626,0.519659
0.98,-0.040829,0.690254,0.506186
0.99,-0.040280,0.672127,0.492893
1.00,-0.039430,0.654384,0.479882
1.01,-0.038377,0.637114,0.467217
1.02,-0.037213,0.620368,0.454937
1.03,-0.036016,0.604161,0.443051
1.04,-0.034847,0.588480,0.431552
1.05,-0.033747,0.573294,0.420415
1.06,-0.032740,0.558561,0.409611
1.07,-0.031824,0.544240,0.399109
1.08,-0.030981,0.530299,0.388886
1.09,-0.030172,0.516721,0.378929
1.10,-0.029340,0.503518,0.369247
1.11,-0.028418,0.490730,0.359869
1.12,-0.027326,0.478433,0.350851
1.13,-0.025981,0.466742,0.342277
1.14,-0.024297,0.455808,0.334259
1.15,-0.022196,0.445820,0.326935
1.16,-0.019604,0.436998,0.320465
1.17,-0.016465,0.429589,0.315032
1.18,-0.012739,0.423856,0.310828
1.19,-0.008406,0.420074,0.308054
1.20,-0.003471,0.418512,0.306909
1.21,0.002036,0.419428,0.307581
