case_id,split,ood_tag,topology_type,hazard_type,load_scale,residual_norm,drift_ratio_pct,base_shear_kN,mode_shape_mac,buckling_factor,equilibrium_residual,top_displacement_m,axial_force_kN,shear_force_y_kN,shear_force_z_kN,bending_moment_y_kNm,bending_moment_z_kNm
C-TRN-001,train,in_distribution,rahmen,wind,1.0,0.02,1.670000,1195.000000,0.948,2.62,0.021,0.408275,958.000000,168.608000,130.288000,1274.140000,1034.640000
C-TRN-002,train,in_distribution,truss,wind,0.92,0.017,1.200000,868.000000,0.96,3.0,0.017,0.387272,760.000000,133.760000,103.360000,1010.800000,820.800000
C-TRN-003,train,in_distribution,rahmen,seismic,1.2,0.027,2.310000,1614.000000,0.938,2.24,0.03,0.564739,1217.000000,214.192000,165.512000,1618.610000,1314.360000
C-TRN-004,train,in_distribution,wall-frame,wind,1.08,0.021,1.550000,1248.000000,0.951,2.72,0.022,0.621521,1036.000000,182.336000,140.896000,1377.880000,1118.880000
C-TRN-005,train,in_distribution,outrigger,combined,1.28,0.033,2.750000,1978.000000,0.928,1.94,0.035,1.317898,1612.000000,283.712000,219.232000,2143.960000,1740.960000
C-TRN-006,train,in_distribution,truss,seismic,1.14,0.024,1.900000,1352.000000,0.943,2.49,0.027,0.613181,1128.000000,198.528000,153.408000,1500.240000,1218.240000
C-TRN-007,train,in_distribution,wall-frame,combined,1.25,0.03,2.410000,1766.000000,0.933,2.1,0.032,0.966363,1374.000000,241.824000,186.864000,1827.420000,1483.920000
C-VAL-001,val,in_distribution,rahmen,combined,1.18,0.028,2.250000,1593.000000,0.937,2.21,0.029,0.550070,1291.000000,227.216000,175.576000,1717.030000,1394.280000
C-VAL-002,val,in_distribution,truss,wind,0.95,0.018,1.270000,939.000000,0.958,2.92,0.018,0.409863,818.000000,143.968000,111.248000,1087.940000,883.440000
C-TST-001,test,ood_topology,outrigger,seismic,1.22,0.031,2.600000,1878.000000,0.93,1.99,0.033,1.246013,1548.000000,272.448000,210.528000,2058.840000,1671.840000
C-TST-002,test,ood_hazard,wall-frame,seismic,1.16,0.026,2.090000,1499.000000,0.941,2.31,0.028,0.838050,1259.000000,221.584000,171.224000,1674.470000,1359.720000
C-TST-003,test,ood_combined,outrigger,combined,1.3,0.035,2.930000,2082.000000,0.923,1.84,0.037,1.404160,1702.000000,299.552000,231.472000,2263.660000,1838.160000
