case_id,split,ood_tag,topology_type,hazard_type,load_scale,residual_norm,drift_ratio_pct,base_shear_kN,mode_shape_mac,buckling_factor,equilibrium_residual,top_displacement_m,axial_force_kN,shear_force_y_kN,shear_force_z_kN,bending_moment_y_kNm,bending_moment_z_kNm
C-TRN-001,train,in_distribution,rahmen,wind,1.0,0.02,1.558480,1249.920000,0.981,2.86,0.0,0.376493,930.784000,167.708160,130.439680,1260.316800,1026.924800
C-TRN-002,train,in_distribution,truss,wind,0.92,0.017,1.123320,902.720000,0.988,3.21,0.0,0.358227,744.226000,134.094240,104.295520,1007.710200,821.097200
C-TRN-003,train,in_distribution,rahmen,seismic,1.2,0.027,2.104960,1721.120000,0.976,2.49,0.0,0.508510,1187.552000,213.972480,166.423040,1607.990400,1310.214400
C-TRN-004,train,in_distribution,wall-frame,wind,1.08,0.021,1.437040,1309.440000,0.983,2.94,0.0,0.569393,1005.006000,181.081440,140.841120,1360.816200,1108.813200
C-TRN-005,train,in_distribution,outrigger,combined,1.28,0.033,2.469280,2122.880000,0.971,2.18,0.0,1.169335,1565.683000,282.103920,219.414160,2119.994100,1727.402600
C-TRN-006,train,in_distribution,truss,seismic,1.14,0.024,1.740640,1438.400000,0.979,2.73,0.0,0.555090,1100.291000,198.249840,154.194320,1489.835700,1213.940200
C-TRN-007,train,in_distribution,wall-frame,combined,1.25,0.03,2.185920,1879.840000,0.974,2.36,0.0,0.866118,1339.005000,241.261200,187.647600,1813.063500,1477.311000
C-VAL-001,val,in_distribution,rahmen,combined,1.18,0.028,2.044240,1691.360000,0.975,2.45,0.0,0.493841,1252.747000,225.719280,175.559440,1696.266900,1382.143400
C-VAL-002,val,in_distribution,truss,wind,0.95,0.018,1.194160,972.160000,0.987,3.12,0.0,0.380818,793.373000,142.949520,111.182960,1074.257100,875.320600
C-TST-001,test,ood_topology,outrigger,seismic,1.22,0.031,2.337720,2018.720000,0.972,2.24,0.0,1.107035,1502.494000,270.718560,210.558880,2034.433800,1657.686800
C-TST-002,test,ood_hazard,wall-frame,seismic,1.16,0.026,1.902560,1597.120000,0.978,2.57,0.0,0.753844,1219.648000,219.755520,170.920960,1651.449600,1345.625600
C-TST-003,test,ood_combined,outrigger,combined,1.3,0.035,2.610960,2241.920000,0.969,2.1,0.0,1.236428,1642.914000,296.019360,230.237280,2224.567800,1812.610800
