"Ang et al. 1985, Spec. 10"	
960	
0	0
-0.97539	-0.97407
-0.55738	4.8704
-0.13934	18.507
0.20901	30.196
0.83607	44.807
1.7418	67.208
2.4385	87.666
3.3442	108.12
4.459	137.34
5.8524	169.49
6.8974	196.76
8.0122	226.96
9.1966	257.15
10.172	281.5
11.078	300.98
12.053	325.33
12.819	338.97
13.307	357.48
14.213	375.01
14.84	389.62
15.537	402.28
16.582	415.92
17.696	423.72
18.672	425.66
19.647	424.69
20.553	421.77
21.041	418.84
21.18	412.03
20.901	398.39
20.553	379.88
19.996	360.4
19.369	336.05
18.393	303.91
17.627	276.63
16.373	244.49
15.188	214.29
13.934	183.12
12.889	156.82
11.565	127.6
10.242	94.485
8.8483	63.312
7.5941	36.04
6.1311	9.7407
4.5286	-23.377
2.8565	-51.626
1.1147	-87.666
-0.48771	-113.96
-2.7173	-154.87
-4.3195	-186.05
-5.713	-218.19
-7.0368	-245.46
-8.2212	-275.66
-9.7539	-313.64
-10.869	-339.95
-12.053	-362.35
-13.307	-388.65
-14.631	-412.03
-15.885	-429.56
-17.418	-439.3
-18.811	-445.13
-19.717	-447.09
-20.135	-444.17
-20.344	-439.3
-20.065	-435.41
-19.856	-422.74
-19.369	-391.57
-18.742	-364.3
-17.766	-331.18
-16.791	-298.06
-15.746	-263.97
-14.561	-230.85
-13.795	-211.37
-12.541	-181.18
-11.426	-153.9
-10.242	-123.71
-9.2662	-101.3
-7.8727	-71.105
-6.2006	-37.988
-4.3894	0
-2.5082	31.17
-0.34836	64.286
1.5328	96.433
3.2746	126.63
4.3894	153.9
6.0615	181.18
7.5941	209.42
9.1966	237.67
11.078	270.79
13.168	303.91
14.84	332.15
16.303	353.58
17.627	375.01
19.229	396.44
20.065	404.23
20.762	409.1
21.25	413
21.459	412.03
21.11	393.52
20.553	375.01
20.135	357.48
19.438	331.18
18.533	300.98
17.348	264.95
16.512	243.51
15.258	211.37
14.283	186.05
12.959	152.93
11.774	123.71
10.52	96.433
8.7785	61.368
6.8974	19.481
5.5039	-2.9222
4.1105	-27.273
2.9261	-45.781
1.2541	-73.053
-0.48771	-99.355
-2.5082	-135.39
-4.5984	-171.43
-6.4795	-204.55
-8.9179	-245.46
-11.217	-289.29
-13.028	-327.28
-14.631	-352.61
-16.721	-386.7
-18.393	-409.1
-19.369	-423.72
-19.717	-425.66
-19.996	-418.84
-19.647	-399.36
-19.159	-375.99
-18.602	-347.74
-17.766	-317.54
-16.861	-289.29
-15.815	-256.18
-14.701	-225.01
-13.656	-192.86
-12.402	-159.74
-11.147	-130.52
-9.7539	-102.28
-8.5695	-75.001
-7.176	-43.832
-5.7828	-14.611
-4.2499	10.714
-2.5082	39.936
-0.48771	73.053
0.34836	84.743
1.8115	111.04
3.7622	137.34
5.2949	161.69
6.8974	187.99
8.2908	213.32
10.033	245.46
11.565	269.82
13.725	307.8
15.606	334.1
17.487	359.43
18.881	380.86
20.135	396.44
20.832	405.21
21.389	409.1
20.901	387.68
20.483	365.27
19.717	336.05
18.742	305.86
18.045	276.63
16.094	228.91
14.701	189.94
12.959	149.03
11.565	114.94
9.8933	80.846
8.0818	41.884
6.4097	15.585
4.7376	-15.585
3.0655	-44.807
1.3237	-73.053
-1.1844	-112.99
-2.9959	-142.21
-4.3894	-168.51
-7.176	-217.22
-9.4056	-255.2
-11.844	-305.86
-14.074	-343.84
-15.606	-368.19
-17.487	-398.39
-19.09	-418.84
-19.787	-423.72
-19.787	-413.97
-19.369	-388.65
-18.602	-355.53
-17.209	-311.7
-16.024	-265.92
-14.701	-225.01
-13.098	-181.18
-11.565	-140.27
-9.8237	-100.33
-8.2908	-67.208
-6.2705	-27.273
-4.5984	5.8445
-2.8565	35.066
-0.83607	68.182
1.3237	101.3
3.7622	137.34
5.6434	170.46
7.7335	198.71
9.0571	221.11
10.729	246.44
12.262	274.68
13.934	299.04
15.537	326.31
17.278	349.69
19.229	375.99
20.623	394.5
21.11	400.34
21.319	402.28
20.901	383.78
20.344	358.45
19.647	333.13
18.672	303.91
17.905	277.6
17	249.36
15.746	219.16
14.561	187.02
13.237	154.87
11.565	118.83
9.9629	82.795
8.2212	47.729
6.0615	9.7407
4.5984	-18.507
3.4836	-37.014
1.3237	-73.053
-0.90571	-109.09
-3.4836	-150.98
-7.1064	-212.34
-9.336	-252.28
-11.565	-295.14
-13.028	-323.39
-14.701	-352.61
