x_m,z_m
0.000000,1.983138586307e-04
0.050000,1.761607603004e-04
0.100000,2.049256570051e-04
0.150000,2.252968982793e-04
0.200000,2.308576563837e-04
0.250000,2.330744436446e-04
0.300000,2.349059595397e-04
0.350000,2.670952594018e-04
0.400000,2.469233282519e-04
0.450000,2.032463835721e-04
0.500000,2.209674630358e-04
0.550000,2.199416916570e-04
0.600000,2.116779029107e-04
0.650000,2.042726841526e-04
0.700000,1.514161923688e-04
0.750000,1.357893282970e-04
0.800000,1.619277142510e-04
0.850000,1.675553950711e-04
0.900000,1.776009557824e-04
0.950000,1.798150947164e-04
1.000000,1.515370638186e-04
1.050000,1.390232788194e-04
1.100000,1.364054513914e-04
1.150000,1.104116252751e-04
1.200000,9.983112965919e-05
1.250000,1.094418361297e-04
1.300000,1.126947831200e-04
1.350000,9.171791258683e-05
1.400000,3.779164902422e-05
1.450000,2.298567748867e-05
1.500000,3.718395504610e-05
1.550000,8.318701654408e-06
1.600000,-5.822885679682e-06
1.650000,1.620213900744e-05
1.700000,3.553625539042e-05
1.750000,3.973653415265e-05
1.800000,1.838426168324e-05
1.850000,1.169452554567e-05
1.900000,3.841816940671e-05
1.950000,5.091416109602e-05
2.000000,2.822491231376e-05
2.050000,4.890557994567e-06
2.100000,-2.088508382968e-05
2.150000,-6.938561019605e-05
2.200000,-8.904674755570e-05
2.250000,-1.128861867759e-04
2.300000,-1.687604517169e-04
2.350000,-1.691392487713e-04
2.400000,-1.512610465295e-04
2.450000,-1.374021926246e-04
2.500000,-1.067665294639e-04
2.550000,-1.229337993550e-04
2.600000,-1.323489735259e-04
2.650000,-1.214869108264e-04
2.700000,-1.486137214287e-04
2.750000,-1.428106253916e-04
2.800000,-1.077437319554e-04
2.850000,-1.059271158367e-04
2.900000,-1.074841615018e-04
2.950000,-9.158335492869e-05
3.000000,-7.392137055881e-05
3.050000,-5.325438671123e-05
3.100000,-3.155664491818e-05
3.150000,-4.723754191089e-05
3.200000,-7.854944432973e-05
3.250000,-7.622661022368e-05
3.300000,-7.555569641551e-05
3.350000,-8.123555950330e-05
3.400000,-8.010900396472e-05
3.450000,-9.559040196542e-05
3.500000,-8.274472631697e-05
3.550000,-1.869441088912e-05
3.600000,1.236046500851e-05
3.650000,-6.656529916697e-06
3.700000,-1.684104433713e-05
3.750000,-3.017039726701e-05
3.800000,-4.003422896196e-05
3.850000,-2.751300644092e-05
3.900000,-2.297540487507e-05
3.950000,-3.991231103077e-06
4.000000,3.504518718304e-06
4.050000,-6.614828865748e-06
4.100000,2.560128797606e-05
4.150000,2.894334285294e-05
4.200000,2.032128357524e-05
4.250000,4.957837685499e-05
4.300000,2.492194407416e-05
4.350000,-1.910954056147e-05
4.400000,-4.755766593052e-05
4.450000,-8.310727981680e-05
4.500000,-9.972572754151e-05
4.550000,-1.221094167454e-04
4.600000,-1.189720641483e-04
4.650000,-8.636565046593e-05
4.700000,-7.915978370156e-05
4.750000,-8.080187288199e-05
4.800000,-8.708187498976e-05
4.850000,-6.744604217829e-05
