time_s,across_wind_force_kN,along_wind_force_kN
0.0,0.000000,0.000000
1.0,32.646541,25.984327
2.0,40.562313,26.285357
3.0,12.872596,16.519417
4.0,21.189928,12.199656
5.0,30.939792,-2.256269
6.0,-8.076022,-28.144425
7.0,-37.935571,-34.397550
8.0,-44.971076,-13.139152
9.0,-22.110481,5.913523
10.0,-0.682876,12.175669
11.0,-16.580678,22.791401
12.0,4.879923,31.140426
13.0,46.534020,13.475215
14.0,44.556318,-17.026605
15.0,23.063617,-27.057061
16.0,-6.952822,-19.985367
17.0,-8.875951,-16.829692
18.0,-2.929870,-8.047767
19.0,-41.982394,18.176973
20.0,-50.307731,35.919241
21.0,-14.841056,23.183879
22.0,12.087183,1.842322
23.0,26.158775,-7.062924
24.0,14.467761,-17.134931
25.0,25.423599,-31.792467
26.0,49.875926,-25.031116
27.0,13.617458,4.983065
28.0,-25.821606,24.233443
29.0,-32.838706,22.017595
30.0,-26.987394,19.638168
31.0,-15.600061,16.537531
32.0,-31.686636,-5.865444
33.0,-18.631379,-32.119267
34.0,35.684915,-30.708089
35.0,43.972338,-10.430094
36.0,27.338319,1.341512
37.0,14.207424,10.219061
38.0,9.348077,28.121655
39.0,12.173581,32.877329
40.0,-29.742196,8.432239
41.0,-58.052029,-17.702568
42.0,-26.403275,-22.125545
43.0,-5.332384,-20.702609
44.0,2.744324,-22.306025
45.0,5.748156,-6.854486
46.0,21.023917,23.461229
47.0,57.005289,34.280151
48.0,35.118196,18.822274
49.0,-10.225018,4.781912
50.0,-14.365072,-2.954228
51.0,-17.062406,-20.984104
52.0,-23.007203,-35.845843
53.0,-40.936815,-21.163938
54.0,-40.091447,7.973179
55.0,14.794045,19.867626
56.0,35.516366,20.173047
57.0,20.371157,24.967652
58.0,24.608526,18.078555
59.0,28.358169,-11.227467
60.0,28.264150,-33.002012
61.0,-8.563883,-25.768761
62.0,-52.024332,-11.015610
63.0,-31.395879,-3.932169
64.0,-14.348963,11.676270
65.0,-21.173436,33.584561
66.0,-11.944276,31.166689
