story_band,zone_label,member_type,changed_group_count,semantic_group_count,rebar_ratio_delta_sum,cost_proxy_delta_sum,constructability_before_avg,constructability_after_avg,detailing_complexity_before_avg,detailing_complexity_after_avg,constructability_delta_sum,overdesign_margin_delta_sum,max_dcr_before_max,max_dcr_after_max,selection_gate
2,perimeter,wall,1,0,0.0,-13.202751374791887,0.4232181818181818,0.32121818181818174,0.6596000000000001,0.6236,-0.10200000000000009,-598.2678540058041,0.0,0.9760890694325534,hard_gate_pass
3,intermediate,wall,1,0,0.0,-4.339249999999993,0.4106000000000001,0.37660000000000005,0.6524,0.6404,-0.03400000000000003,-300.6521657070024,0.0,0.4871478485287804,hard_gate_pass
3,perimeter,wall,2,0,-0.005999999999999998,-157.31567999999993,0.4194,0.37339999999999995,0.6595999999999997,0.6235999999999997,-0.09200000000000003,-744.8614309365214,0.0,0.5501960651847768,hard_gate_pass
4,intermediate,wall,2,0,-0.006000000000000004,-158.71445000000006,0.4106000000000002,0.38360000000000016,0.6524,0.6404,-0.05400000000000005,-569.6626714462463,0.0,0.41160981012878034,hard_gate_pass
4,perimeter,slab,1,1,0.0,-14.870647765957415,0.10840000000000004,0.06840000000000003,0.03959999999999998,0.023599999999999982,-0.04000000000000001,-265.3403048922801,0.0,0.41903523089535444,hard_gate_pass
4,perimeter,wall,2,0,0.0,-5.880959999999959,0.4194,0.3474,0.6595999999999997,0.5995999999999997,-0.14400000000000002,-624.0191088884905,0.0,0.5069535770461602,hard_gate_pass
4,transfer,beam,5,0,0.0,8.658278399999944,0.46750000000000014,0.3955000000000002,0.6920000000000001,0.6320000000000001,-0.36000000000000004,163.50366294438638,0.4980614545454547,0.35217140544080866,hard_gate_pass
5,perimeter,column,1,1,-0.009999999999999995,-47.99385600000005,0.4779000000000001,0.4499000000000001,0.6596,0.6476,-0.028000000000000025,-666.7162320854605,0.0,0.2387686827357232,hard_gate_pass
6,intermediate,wall,1,0,0.0,-4.339249999999993,0.4106000000000001,0.37660000000000005,0.6524,0.6404,-0.03400000000000003,-281.22419281152304,0.0,0.4552076437802751,hard_gate_pass
6,perimeter,wall,1,0,0.0,-2.9404799999999796,0.4194000000000002,0.3474000000000002,0.6596,0.5995999999999999,-0.07200000000000001,-338.3727490064397,0.0,0.5501960651847768,hard_gate_pass
7,intermediate,wall,1,0,0.0,-4.339249999999993,0.4106000000000001,0.37660000000000005,0.6524,0.6404,-0.03400000000000003,-281.22419281152304,0.0,0.4552076437802751,hard_gate_pass
7,perimeter,wall,1,0,0.0,-2.9404799999999796,0.41940000000000005,0.34740000000000004,0.6596,0.5995999999999999,-0.07200000000000001,-338.3727490064398,0.0,0.5501960651847768,hard_gate_pass
8,perimeter,wall,1,0,0.0,-2.9404799999999796,0.41467847248584905,0.34267847248584904,0.6491451890758084,0.5891451890758084,-0.07200000000000001,-310.41790597852616,0.0,0.5043428600582276,hard_gate_pass
