case_id,split,ood_tag,topology_type,hazard_type,load_scale,residual_norm,drift_ratio_pct,base_shear_kN,mode_shape_mac,buckling_factor,equilibrium_residual
C-TRN-001,train,in_distribution,rahmen,wind,1.0,0.02,1.54,1260.0,0.981,2.86,0.0
C-TRN-002,train,in_distribution,truss,wind,0.92,0.017,1.11,910.0,0.988,3.21,0.0
C-TRN-003,train,in_distribution,rahmen,seismic,1.2,0.027,2.08,1735.0,0.976,2.49,0.0
C-TRN-004,train,in_distribution,wall-frame,wind,1.08,0.021,1.42,1320.0,0.983,2.94,0.0
C-TRN-005,train,in_distribution,outrigger,combined,1.28,0.033,2.44,2140.0,0.971,2.18,0.0
C-TRN-006,train,in_distribution,truss,seismic,1.14,0.024,1.72,1450.0,0.979,2.73,0.0
C-TRN-007,train,in_distribution,wall-frame,combined,1.25,0.03,2.16,1895.0,0.974,2.36,0.0
C-VAL-001,val,in_distribution,rahmen,combined,1.18,0.028,2.02,1705.0,0.975,2.45,0.0
C-VAL-002,val,in_distribution,truss,wind,0.95,0.018,1.18,980.0,0.987,3.12,0.0
C-TST-001,test,ood_topology,outrigger,seismic,1.22,0.031,2.31,2035.0,0.972,2.24,0.0
C-TST-002,test,ood_hazard,wall-frame,seismic,1.16,0.026,1.88,1610.0,0.978,2.57,0.0
C-TST-003,test,ood_combined,outrigger,combined,1.3,0.035,2.58,2260.0,0.969,2.1,0.0
